timestamp,frame_total_ms,undistort_ms,backend_ms,publish_ms
1076.599619,5.775,2.083,1.240,2.362
1076.699451,124.895,4.163,47.588,2.588
1076.799291,71.894,5.733,24.746,1.140
1076.899122,117.632,3.932,41.973,1.249
1076.999753,121.531,3.943,66.076,1.164
1077.099596,65.514,3.906,30.256,0.773
1077.199424,103.937,3.893,37.604,1.922
1077.299277,125.920,3.942,60.363,1.210
1077.399124,63.806,3.912,28.101,1.205
1077.499766,104.703,4.132,28.305,1.794
1077.599611,109.892,4.278,43.069,1.981
1077.699462,95.117,3.979,39.667,0.765
1077.799299,86.039,4.222,30.632,0.806
1077.899137,111.239,4.177,44.283,1.410
1077.999775,99.943,4.199,43.104,1.875
1078.099610,107.993,4.238,51.855,1.410
1078.199456,92.388,4.095,45.792,2.028
1078.299313,87.817,3.905,32.435,0.779
1078.399140,110.437,3.998,44.395,1.418
1078.499767,112.390,4.357,56.896,0.701
1078.599608,80.527,5.678,33.446,0.733
1078.699441,111.178,3.908,45.442,1.330
1078.799270,94.639,3.989,48.683,1.660
1078.899508,93.238,4.070,37.692,0.762
1078.999336,118.836,3.968,43.177,1.152
1079.099187,90.625,3.979,54.346,2.045
1079.199843,83.465,4.103,38.005,0.662
1079.299680,111.852,3.938,46.171,1.329
1079.399525,113.307,3.966,57.149,1.788
1079.499364,74.810,3.919,39.628,0.685
1079.599203,117.601,3.951,51.300,1.933
1079.699437,91.686,4.334,45.616,1.312
1079.799279,89.544,4.090,34.010,0.739
1079.899116,119.945,3.919,54.242,1.351
1079.999750,97.043,3.959,61.543,1.287
1080.099590,84.956,3.897,39.649,0.777
1080.199443,111.008,4.181,55.261,1.186
1080.299282,114.485,4.066,68.799,1.302
1080.399131,75.013,4.392,49.353,0.715
1080.499778,94.201,3.954,38.634,1.270
1080.599624,120.810,4.121,55.552,0.684
1080.699461,73.579,3.920,38.400,0.686
1080.799310,118.943,3.895,53.436,1.199
1080.899138,107.429,3.957,61.817,1.343
1080.999784,112.282,3.968,66.491,1.140
1081.099604,78.363,5.812,51.693,0.707
1081.199447,88.884,4.099,43.767,0.724
1081.299295,144.118,3.911,87.785,1.648
1081.399141,77.076,4.088,72.259,0.687
1081.499784,94.918,3.911,58.003,0.734
1081.599610,100.157,4.062,53.548,1.861
1081.699455,93.930,3.907,58.487,1.333
1081.799290,90.548,3.856,45.740,0.684
1081.899123,153.130,4.211,86.632,1.264
1081.999767,63.162,4.175,58.136,0.799
1082.099605,74.690,3.875,39.886,0.708
1082.199451,122.018,4.008,66.043,1.229
1082.299279,118.874,3.915,73.324,1.277
1082.399119,89.099,3.842,74.451,0.655
1082.499759,74.071,3.873,38.902,0.706
1082.599597,96.374,4.049,40.698,1.254
1082.699442,122.178,3.902,55.914,0.713
1082.799288,77.456,3.845,42.323,0.692
1082.899134,86.819,3.892,41.872,0.759
1082.999780,125.117,4.005,58.851,1.693
1083.099619,99.786,4.045,64.081,1.062
1083.199447,101.992,4.808,46.070,0.745
1083.299294,90.751,3.876,85.544,1.287
1083.399128,125.785,4.003,80.231,0.691
1083.499759,64.453,3.844,59.844,0.716
1083.599588,41.215,3.855,36.581,0.743
1083.699421,54.624,3.861,48.956,1.362
1083.799259,161.901,4.059,74.318,2.947
1083.899504,69.152,3.900,64.447,0.758
1083.999342,58.795,3.871,53.852,0.675
1084.099180,56.184,3.904,51.447,0.786
1084.199813,160.084,3.904,73.429,2.194
1084.299649,70.483,3.856,65.520,0.697
1084.399491,68.088,4.106,63.258,0.676
1084.499344,165.936,4.063,79.967,1.371
1084.599183,60.456,4.566,54.737,0.684
1084.699829,113.347,3.901,58.308,0.787
1084.799677,44.191,3.886,39.179,1.078
1084.899529,46.346,4.075,41.075,0.790
1084.999362,171.902,3.894,76.154,1.238
1085.099207,65.897,3.910,61.203,0.738
1085.199431,46.019,3.873,41.014,0.720
1085.299261,140.724,3.870,53.665,2.623
1085.399486,83.706,3.874,78.419,1.346
1085.499320,39.301,3.894,34.280,0.733
1085.599162,169.955,4.016,83.072,2.316
1085.699796,63.532,5.546,57.262,0.677
1085.799631,54.505,4.077,49.200,0.750
1085.899473,140.835,4.056,54.666,1.575
1085.999324,98.992,3.893,54.136,0.667
1086.099155,95.337,4.075,38.902,0.774
1086.199794,115.041,3.930,110.299,0.649
1086.299633,103.477,3.832,98.718,0.738
1086.399470,129.717,4.049,103.233,2.127
1086.499302,109.200,3.886,104.227,0.870
1086.599130,82.097,3.840,77.151,0.939
1086.699784,83.118,3.953,78.252,0.752
1086.799619,89.665,3.962,84.773,0.765
1086.899458,87.910,3.917,83.051,0.778
1086.999289,130.488,4.078,85.259,0.745
1087.099143,84.221,4.115,79.173,0.772
1087.199782,101.315,4.189,96.197,0.762
1087.299617,123.395,4.114,97.662,1.334
1087.399460,95.185,4.096,90.020,0.909
1087.499295,112.026,3.888,105.729,2.228
1087.599135,92.283,4.172,87.057,0.819
1087.699770,83.442,4.077,78.417,0.784
1087.799602,119.422,4.092,113.508,1.628
1087.899444,110.104,3.934,105.189,0.786
1087.999279,78.957,3.899,74.127,0.744
1088.099115,110.555,3.887,105.063,1.425
1088.199753,93.000,4.068,88.058,0.673
1088.299594,94.294,3.949,89.416,0.769
1088.399430,105.469,4.013,99.342,1.916
1088.499266,110.707,4.051,105.688,0.759
1088.599508,94.701,3.927,89.837,0.771
1088.699333,80.580,4.076,75.604,0.736
1088.799186,89.199,3.903,74.313,0.729
1088.899821,90.292,3.895,85.476,0.758
1088.999653,99.183,3.988,74.063,0.775
1089.099501,113.820,3.931,88.304,1.229
1089.199337,91.006,3.923,76.075,0.768
1089.299182,89.372,3.892,64.367,0.825
1089.399830,89.743,4.071,84.784,0.727
1089.499670,150.187,3.866,104.594,1.312
1089.599514,105.203,3.916,100.248,0.866
1089.699358,74.656,3.984,69.605,0.901
1089.799199,117.522,4.230,102.203,0.664
1089.899441,87.563,4.091,82.502,0.807
1089.999289,78.315,4.091,73.337,0.722
1090.099133,112.073,3.912,87.121,0.752
1090.199779,97.114,4.081,82.104,0.697
1090.299623,110.878,3.907,95.905,0.777
1090.399457,83.399,3.897,68.302,0.936
1090.499304,91.359,3.889,76.425,0.808
1090.599151,104.576,3.889,79.675,0.722
1090.699782,130.335,3.947,104.483,1.585
1090.799603,87.033,3.986,82.056,0.710
1090.899432,104.961,4.088,99.764,0.944
1090.999268,82.589,3.938,77.736,0.748
1091.099505,92.312,4.105,77.204,0.769
1091.199356,87.101,4.002,72.179,0.707
1091.299197,112.363,3.976,87.316,0.777
1091.399840,117.140,3.911,92.151,0.776
1091.499684,87.641,3.887,82.823,0.768
1091.599519,117.013,4.038,101.903,0.790
1091.699356,129.653,3.982,124.750,0.756
1091.799199,148.299,3.954,143.533,0.650
1091.899422,83.744,3.937,78.968,0.678
1091.999261,99.216,3.985,94.346,0.725
1092.099503,105.558,4.103,100.534,0.745
1092.199340,84.231,3.968,79.368,0.731
1092.299186,77.845,4.113,72.727,0.840
1092.399829,97.030,4.118,91.980,0.766
1092.499664,66.732,5.552,60.141,0.858
1092.599503,84.255,4.009,79.365,0.700
1092.699343,97.417,3.975,82.466,0.735
1092.799170,118.535,3.971,103.545,0.776
1092.899810,72.520,3.956,67.639,0.737
1092.999651,99.596,3.978,74.619,0.713
1093.099491,121.954,3.912,96.929,0.816
1093.199323,95.746,4.099,90.159,1.297
1093.299162,79.912,4.101,74.842,0.794
1093.399803,97.941,3.917,72.895,0.729
1093.499654,109.761,3.906,84.757,0.797
1093.599494,132.168,3.917,117.233,0.775
1093.699332,71.040,4.088,65.820,0.792
1093.799164,98.022,4.126,82.883,0.717
1093.899816,96.505,4.094,81.423,0.744
1093.999652,96.615,4.106,81.477,0.749
1094.099495,113.493,4.112,98.319,0.820
1094.199344,81.710,4.097,76.736,0.715
1094.299202,92.999,3.917,68.052,0.743
1094.399434,130.214,3.975,95.081,0.806
1094.499278,83.076,3.951,78.153,0.801
1094.599124,94.045,3.933,79.145,0.728
1094.699770,161.180,3.933,135.497,1.445
1094.799611,118.558,3.912,113.519,0.935
1094.899449,89.773,3.958,84.887,0.763
1094.999288,94.115,3.935,88.835,1.164
1095.099141,121.226,4.112,116.194,0.722
1095.199780,110.268,3.949,104.919,1.214
1095.299609,111.239,3.919,105.709,1.418
1095.399438,85.279,3.927,80.494,0.664
1095.499281,136.850,3.922,131.096,1.647
1095.599113,123.747,3.963,118.355,1.193
1095.699747,76.568,3.959,71.333,1.085
1095.799594,87.071,3.896,82.133,0.867
1095.899430,107.828,4.108,102.709,0.835
1095.999263,111.191,3.946,106.232,0.845
1096.099508,95.419,3.995,88.652,2.532
1096.199343,96.418,4.198,91.280,0.689
1096.299184,75.100,4.099,69.874,0.961
1096.399829,113.193,3.970,108.194,0.850
1096.499670,90.890,3.931,86.013,0.786
1096.599522,121.163,4.006,116.253,0.740
1096.699357,98.425,3.968,93.469,0.825
1096.799204,112.558,4.107,107.581,0.704
1096.899443,75.524,3.950,70.590,0.819
1096.999285,116.929,3.990,112.029,0.720
1097.099132,95.736,4.095,90.585,0.894
1097.199782,96.484,3.935,91.488,0.865
1097.299618,77.848,4.030,72.712,0.909
1097.399470,78.407,3.971,73.510,0.756
1097.499309,98.600,3.940,93.697,0.801
1097.599159,99.785,3.928,94.978,0.715
1097.699791,81.157,3.914,76.309,0.769
1097.799638,88.930,4.100,83.966,0.699
1097.899473,103.966,3.918,99.127,0.760
1097.999296,107.771,3.890,102.922,0.793
1098.099139,85.300,4.099,80.281,0.757
1098.199782,80.910,3.893,75.955,0.884
