timestamp,total_ms,feature_extract_ms
1076.499783,38.096,36.671
1076.599622,31.339,30.723
1076.699455,28.776,27.915
1076.799296,23.643,23.380
1076.899923,30.636,29.762
1076.999757,30.640,29.515
1077.099598,23.461,23.113
1077.199427,28.365,27.533
1077.299280,28.417,27.144
1077.399927,23.091,22.797
1077.499770,23.181,22.796
1077.599614,38.650,37.513
1077.699466,23.726,23.452
1077.799302,27.651,27.313
1077.899938,35.752,33.859
1077.999778,31.701,30.386
1078.099613,34.677,33.772
1078.199459,34.888,34.029
1078.299317,22.575,22.183
1078.399942,30.580,29.712
1078.499770,33.812,32.861
1078.599612,22.332,21.964
1078.699445,32.025,30.166
1078.799673,28.881,27.982
1078.899511,22.227,21.931
1078.999339,23.631,22.896
1079.099990,33.958,33.165
1079.199846,29.096,28.838
1079.299684,24.532,23.723
1079.399530,31.978,31.161
1079.499368,25.449,25.191
1079.599605,25.970,25.186
1079.699440,30.521,29.713
1079.799283,22.285,22.019
1079.899918,30.807,30.004
1079.999754,34.836,33.805
1080.099593,22.844,22.569
1080.199446,39.015,37.905
1080.299286,31.278,30.465
1080.399933,31.913,31.660
1080.499782,22.836,22.586
1080.599627,35.350,34.089
1080.699464,25.615,25.270
1080.799313,22.734,22.394
1080.899941,32.034,31.168
1080.999787,30.893,30.085
1081.099607,24.641,24.405
1081.199450,24.235,23.920
1081.299299,35.905,35.075
1081.399942,31.666,30.863
1081.499787,23.165,22.918
1081.599614,23.865,23.393
1081.699459,31.256,30.446
1081.799294,21.788,21.366
1081.899924,30.725,29.856
1081.999769,30.552,29.766
1082.099610,22.695,22.422
1082.199455,23.389,23.055
1082.299283,27.766,26.800
1082.399923,31.198,30.305
1082.499763,24.047,21.716
1082.599599,24.560,24.203
1082.699446,34.105,31.361
1082.799291,22.703,22.055
1082.899936,24.264,23.916
1082.999783,30.363,29.489
1083.099622,27.432,27.174
1083.199451,22.483,22.131
1083.299298,29.711,28.959
1083.399930,34.999,33.899
1083.499762,22.075,21.749
1083.599591,21.596,21.303
1083.699425,25.375,24.708
1083.799662,30.406,29.605
1083.899506,39.952,37.489
1083.999345,21.494,21.273
1084.099984,23.335,22.452
1084.199816,31.082,30.188
1084.299653,31.415,31.098
1084.399494,23.453,23.213
1084.499348,25.304,24.183
1084.599984,33.392,32.463
1084.699833,23.388,23.105
1084.799681,22.720,22.400
1084.899532,21.557,21.238
1084.999365,32.203,31.262
1085.099610,30.628,29.794
1085.199435,21.970,21.690
1085.299664,24.026,23.696
1085.399489,32.092,31.252
1085.499324,21.143,20.915
1085.599965,24.266,23.930
1085.699799,39.498,37.435
1085.799634,22.679,22.376
1085.899478,23.934,23.610
1085.999328,28.559,27.740
1086.099957,21.661,21.336
1086.199797,32.248,31.429
1086.299637,21.791,21.509
1086.399474,23.516,23.173
1086.499305,28.683,27.864
1086.599933,22.877,22.447
1086.699787,23.594,23.252
1086.799622,26.025,25.683
1086.899461,23.914,23.592
1086.999293,23.792,23.476
1087.099944,26.260,25.933
1087.199785,23.528,23.117
1087.299622,25.079,24.560
1087.399463,25.311,24.992
1087.499299,22.819,22.509
1087.599939,33.228,32.172
1087.699774,24.372,24.052
1087.799605,25.922,25.324
1087.899447,28.260,27.288
1087.999282,22.631,22.296
1088.099917,23.167,22.733
1088.199757,32.219,31.212
1088.299598,22.890,22.540
1088.399433,26.463,25.629
1088.499669,33.643,32.800
1088.599511,22.822,22.515
1088.699336,23.642,23.312
1088.799989,25.586,25.184
1088.899824,26.134,25.648
1088.999657,29.913,29.554
1089.099505,31.507,31.194
1089.199341,23.052,22.691
1089.299985,22.734,22.383
1089.399834,22.939,22.583
1089.499673,23.224,22.841
1089.599518,27.073,26.702
1089.699360,23.224,22.873
1089.799603,32.611,31.698
1089.899444,23.116,22.850
1089.999293,23.906,23.513
1090.099934,22.775,22.450
1090.199783,22.807,22.436
1090.299627,24.683,23.511
1090.399460,22.556,22.235
1090.499307,23.125,22.724
1090.599952,28.366,27.999
1090.699785,23.085,22.682
1090.799607,30.708,29.065
1090.899436,21.667,21.359
1090.999670,24.754,24.192
1091.099508,24.986,24.619
1091.199359,25.475,25.050
1091.299998,23.456,23.029
1091.399843,23.893,23.492
1091.499688,24.150,23.780
1091.599522,32.945,32.053
1091.699359,25.845,25.568
1091.799602,25.072,24.757
1091.899426,28.003,27.215
1091.999663,22.368,22.115
1092.099506,26.634,26.236
1092.199344,26.052,25.716
1092.299990,26.250,25.693
1092.399833,24.312,24.003
1092.499667,23.503,23.116
1092.599506,44.059,43.663
1092.699347,24.055,23.720
1092.799971,24.661,24.261
1092.899813,24.306,23.812
1092.999653,22.795,22.377
1093.099496,25.188,24.775
1093.199327,23.291,22.869
1093.299963,23.359,23.042
1093.399807,25.794,25.398
1093.499656,28.555,28.194
1093.599498,23.705,23.329
1093.699336,22.972,22.609
1093.799967,22.894,22.569
1093.899819,22.775,22.380
1093.999655,31.185,30.839
1094.099498,28.596,28.286
1094.199349,23.515,23.130
1094.299603,22.764,22.225
