frame_id,total_ms,prep_map_ms,build_ms,solve_ms,marg_ms
1,45.7808,11.9238,11.8812,19.3694,0
2,23.0765,2.9394,4.29651,13.9786,0
3,39.604,5.22313,7.30649,24.6941,0
4,63.7631,5.30275,17.7784,37.4488,0
5,27.744,3.08494,5.71283,16.5272,0
6,33.4691,6.5782,8.25381,15.8461,0
7,56.9291,4.91717,16.9743,31.0824,0
8,24.6661,2.36452,5.17354,14.1346,0
9,23.7103,2.27965,5.67054,13.1164,0
10,37.7393,4.99417,10.1931,19.2081,0
11,35.537,1.89174,7.87173,22.9216,0
12,25.5265,3.39002,6.75874,12.2875,0
13,35.208,5.40542,7.2254,18.8447,0
14,36.0719,5.05775,10.4527,17.2671,0
15,40.1511,4.9023,7.97207,23.6598,0
16,35.7114,4.3143,9.14718,18.6811,0
17,26.953,2.39777,9.61093,11.9352,0
18,36.3125,7.54682,7.16795,18.1724,0
19,49.9718,4.83171,14.5269,26.3545,0
20,27.2094,2.44707,8.6461,12.9196,0
21,35.7738,6.89232,10.681,14.2046,0
22,36.7083,4.75938,10.6067,17.4167,0
23,29.9665,2.55265,5.72946,18.3326,0
24,28.8978,5.07088,7.08599,13.1092,0
25,36.8471,4.9023,7.12886,20.4419,0
26,29.0469,2.80494,5.38325,17.2569,0
27,33.5493,2.02532,5.14409,22.7393,0
28,40.8123,4.18305,16.0462,16.3565,0
29,29.8288,2.27702,7.68682,16.3968,0
30,36.1014,4.66488,7.57132,20,0
31,30.8479,5.17821,8.16719,13.4874,0
32,23.7097,2.33011,5.22138,12.4652,0
33,36.8311,4.28309,6.82437,21.4458,0
34,41.8652,4.5243,6.99236,25.7344,0
35,27.4325,2.36482,5.48854,15.8143,0
36,38.0059,4.79555,8.20802,20.9086,0
37,50.1293,6.54262,13.7639,24.7439,0
38,35.2599,5.45267,8.66302,17.2242,0
39,22.3412,2.80085,6.40174,9.38343,0
40,41.7483,5.75396,16.0646,15.7187,0
41,25.0461,2.03494,4.74363,14.4721,0
42,36.2489,2.57365,5.63117,24.1977,0
43,37.2327,5.43488,7.60136,19.93,0
44,38.4513,6.14304,12.4838,15.1701,0
45,36.6584,2.42052,11.437,18.9095,0
46,27.3418,2.56169,11.3131,9.38489,0
47,63.2326,4.03022,13.5195,40.5936,0
48,52.5387,5.98962,14.1796,26.5219,0
49,38.6721,1.77215,9.10168,22.366,0
50,28.7322,2.04428,4.57738,17.8869,0
51,35.2042,5.58246,6.36383,18.7354,0
52,30.0091,2.95923,3.83276,15.8931,0
53,57.2546,5.69125,21.3668,24.8189,0
54,36.5056,5.47571,7.95515,18.3559,0
55,24.8192,3.16777,4.50213,13.1415,0
56,43.2786,3.78114,8.92902,25.6994,0
57,47.9666,5.31792,13.9891,23.3116,0
58,56.23,5.69067,13.2594,31.7981,0
59,22.9572,2.02065,4.85505,12.0624,0
60,24.4532,2.24173,5.35583,12.8939,0
61,35.4699,8.4466,6.39533,15.8158,0
62,27.1382,7.5334,4.70542,10.8718,0
63,24.9717,2.46048,4.90813,13.5449,0
64,36.0048,6.86345,7.18807,17.5885,0
65,48.276,2.30036,10.3955,30.4142,0
66,30.7438,2.90469,4.47413,19.328,0
67,60.7482,2.27907,16.1891,35.9972,0
68,65.451,4.83317,13.3381,42.282,0
69,44.5585,2.36044,9.22885,28.0438,0
70,21.5628,2.07374,4.17109,11.157,0
71,24.4319,2.7151,3.90189,13.5283,0
72,51.1037,4.19414,11.2501,29.7419,0
73,49.7825,5.22342,18.0324,21.2906,0
74,37.6262,2.04311,9.09877,21.5353,0
75,36.7133,1.76924,8.57669,21.4289,0
76,49.8469,4.02964,12.4497,27.7563,0
77,51.1588,4.24313,15.8365,24.4625,0
78,48.9273,2.1799,18.5481,23.3463,0
79,55.8602,5.58625,13.9165,30.9523,0
80,37.6798,5.23888,9.21077,18.5303,0
81,43.7284,3.09923,9.88976,25.6711,0
82,22.9164,3.32352,4.21922,11.1107,0
83,26.3799,2.13732,4.02614,16.0243,0
84,52.2152,5.65537,14.923,26.1285,0
85,42.373,6.84945,9.16352,20.8668,0
86,25.7584,1.76924,4.78971,14.9303,0
87,30.3232,1.99644,5.43984,18.4233,0
88,49.4223,4.2338,14.6276,24.5077,0
89,20.1374,1.79695,4.9055,9.20464,0
90,60.2885,2.43656,10.9721,41.505,0
91,37.6107,6.309,7.07199,17.2164,0
92,33.7882,1.9734,10.1251,16.6806,0
93,33.6269,2.24523,5.25929,21.6768,0
94,40.0566,5.42963,11.3072,18.6519,0
95,24.599,3.39235,6.62137,10.4025,0
96,91.4167,3.08844,19.186,49.7063,9.8603
97,83.2801,2.07928,10.6195,54.4094,9.60043
98,74.4167,1.96844,12.9505,40.455,12.5713
99,87.677,7.07403,17.6302,45.9558,10.4191
100,60.1269,3.24856,8.97043,31.008,11.6409
101,62.9365,2.81106,9.93934,34.0798,10.7709
102,69.3234,2.58561,11.8392,39.7603,10.0327
103,67.7169,2.17786,11.3589,39.3522,9.62464
104,69.8382,2.34469,13.4416,38.995,9.20901
105,63.1687,2.45552,11.5601,34.5027,8.62481
106,81.6748,1.74853,12.5655,53.0249,8.56852
107,81.5126,2.42432,13.8354,49.0346,9.61735
108,73.1795,2.24144,15.0954,39.5322,9.1151
109,77.3427,4.08185,11.3927,44.6605,10.3949
110,71.2819,4.92826,17.4774,32.3298,9.67014
111,63.1996,1.96961,12.725,31.6908,9.97697
112,83.8792,2.21782,17.5967,42.2272,12.7186
113,88.3169,5.96454,15.8937,42.7011,15.8595
114,55.7537,1.81299,10.5075,26.0593,11.5394
115,75.8094,2.6696,13.8555,41.1702,11.0693
116,71.8912,5.06621,15.726,34.0087,11.318
117,73.9247,2.46807,11.9746,41.6345,10.7656
118,71.8822,2.64452,9.76259,38.9778,13.4877
119,88.9618,4.04276,18.2844,47.3546,11.7389
120,74.3158,1.76632,19.0431,33.7053,12.3619
121,60.3588,2.76673,9.19764,32.0388,10.5332
122,58.5779,2.27761,11.3551,29.9717,9.73897
123,70.2206,7.4774,8.8806,38.7605,9.46043
124,57.562,2.61798,9.63164,29.1571,9.85651
125,72.1339,2.64744,11.5569,38.8208,12.7376
126,61.0104,2.76265,9.79964,33.0447,10.1829
127,49.6798,2.79706,10.7525,21.6952,8.99785
128,68.9848,2.30677,9.99388,40.8511,10.2645
129,86.5491,2.41819,28.6094,37.1394,10.9106
130,83.1999,2.72531,20.8292,33.624,10.7359
131,54.3324,1.95415,8.76948,26.6783,11.2189
132,86.4873,4.28951,19.9,43.4288,11.5056
133,65.8243,2.36015,12.6903,31.4802,11.7395
134,57.0528,2.03436,9.11976,26.9323,13.0333
135,71.5191,3.04556,12.0102,40.105,9.55872
136,66.916,2.20294,16.8999,31.3318,9.64301
137,79.0192,1.96057,12.4421,47.4071,10.096
138,51.3475,2.07461,9.88976,20.7414,12.8644
139,61.0451,2.58794,10.3553,31.5327,10.7172
140,64.485,2.09357,9.55143,36.86,10.4664
141,80.7111,2.56665,12.1344,48.1019,10.9322
142,65.1339,5.84787,12.3742,28.1509,13.1751
143,82.6662,2.31844,12.5459,50.2168,10.5046
144,61.9939,3.94622,12.2409,29.5112,10.4667
145,61.9667,2.79823,12.6859,30.5306,10.5133
146,56.8346,2.11603,9.84601,28.7176,10.6717
147,71.1571,3.8876,10.854,39.7087,11.0728
148,75.1649,2.95719,13.6788,39.3665,11.7465
